1,0,0,100000000,,
1,1,0.001,100000011,,
1,19,0.019,110000011,,
1,174,0.174,110000000,,
1,955,0.955,0,,
1,1279,1.279,110000000,,
1,2168,2.168,100000000,,
1,2431,2.431,110000000,,
1,3305,3.305,100000000,,
1,3530,3.53,110000000,,
1,41321,41.321,0,,
2,0,0,110000000,,
2,1,0.001,110000011,,
2,19,0.019,100000011,,
2,188,0.188,100000000,,
2,947,0.947,110000000,,
2,1243,1.243,100000000,,
2,2099,2.099,110000000,,
2,2343,2.343,100000000,,
2,3205,3.205,110000000,,
2,3388,3.388,100000000,,
2,4076,4.076,110000000,,
2,4097,4.097,110000011,,
2,4115,4.115,100000011,,
2,4284,4.284,100000000,,
2,128717,128.717,0,,
3,0,0,100000000,,
3,1,0.001,100000011,,
3,20,0.02,110000011,,
3,194,0.194,110000000,,
3,921,0.921,100000000,,
3,1259,1.259,110000000,,
3,2078,2.078,0,,
3,2165,2.165,100000000,,
3,2301,2.301,110000000,,
3,3190,3.19,100000000,,
3,3411,3.411,110000000,,
3,4133,4.133,110000011,,
3,4290,4.29,110000000,,
3,16635,16.635,10000000,,
3,16894,16.894,110000000,,
3,17238,17.238,0,,
4,0,0,10000000,,
4,1,0.001,10000011,,
4,20,0.02,11,,
4,182,0.182,0,,
4,993,0.993,10000000,,
4,1315,1.315,0,,
4,2241,2.241,110000000,,
4,2512,2.512,0,,
4,3392,3.392,110000000,,
4,3398,3.398,10000000,,
4,3611,3.611,0,,
4,112504,112.504,100000000,,
4,112641,112.641,0,,
5,0,0,100000000,,
5,1,0.001,100000011,,
5,19,0.019,110000011,,
5,219,0.219,110000000,,
5,1120,1.12,0,,
5,1483,1.483,110000000,,
5,2409,2.409,100000000,,
5,2638,2.638,110000000,,
5,3527,3.527,100000000,,
5,3743,3.743,110000000,,
5,9362,9.362,0,,
6,0,0,10000000,,
6,1,0.001,10000011,,
6,20,0.02,11,,
6,204,0.204,0,,
6,891,0.891,110000000,,
6,1177,1.177,0,,
6,1954,1.954,110000000,,
6,2175,2.175,0,,
6,3017,3.017,110000000,,
6,3209,3.209,0,,
6,3940,3.94,10000000,,
6,3943,3.943,0,,
6,3953,3.953,10000000,,
6,4097,4.097,10000011,,
6,4116,4.116,11,,
6,4250,4.25,0,,
7,0,0,100000000,,
7,1,0.001,100000011,,
7,19,0.019,110000011,,
7,200,0.2,110000000,,
7,990,0.99,0,,
7,1308,1.308,110000000,,
7,2305,2.305,0,,
7,2613,2.613,110000000,,
7,3463,3.463,100000000,,
7,3743,3.743,110000000,,
7,30859,30.859,0,,
7,39051,39.051,110000000,,
7,232998,232.998,10000000,,
7,233065,233.065,110000000,,
7,233443,233.443,0,,
8,0,0,10000000,,
8,1,0.001,10000011,,
8,20,0.02,11,,
8,197,0.197,0,,
8,993,0.993,110000000,,
8,1332,1.332,0,,
8,2095,2.095,110000000,,
8,2375,2.375,0,,
8,3214,3.214,110000000,,
8,3426,3.426,0,,
8,4098,4.098,10000011,,
8,4116,4.116,11,,
8,4293,4.293,0,,
9,0,0,100000000,,
9,1,0.001,100000011,,
9,20,0.02,110000011,,
9,176,0.176,110000000,,
9,987,0.987,0,,
9,1283,1.283,110000000,,
9,2167,2.167,0,,
9,2374,2.374,110000000,,
9,3331,3.331,0,,
9,3459,3.459,100000000,,
9,3544,3.544,110000000,,
9,4199,4.199,110000011,,
9,4272,4.272,110000000,,
9,30719,30.719,0,,
9,34815,34.815,110000000,,
9,108819,108.819,10000000,,
9,108967,108.967,110000000,,
9,109226,109.226,0,,
10,0,0,10000000,,
10,1,0.001,10000011,,
10,19,0.019,11,,
10,181,0.181,0,,
10,981,0.981,110000000,,
10,1282,1.282,0,,
10,2239,2.239,110000000,,
10,2400,2.4,10000000,,
10,2530,2.53,0,,
10,3466,3.466,110000000,,
10,3536,3.536,10000000,,
10,3681,3.681,0,,
11,0,0,100000000,,
11,1,0.001,100000011,,
11,20,0.02,110000011,,
11,214,0.214,110000000,,
11,1088,1.088,0,,
11,1427,1.427,110000000,,
11,2315,2.315,0,,
11,2621,2.621,110000000,,
11,3429,3.429,100000000,,
11,3725,3.725,110000000,,
11,31123,31.123,0,,
11,35219,35.219,110000000,,
11,42088,42.088,10000000,,
11,42374,42.374,110000000,,
11,42754,42.754,0,,
12,0,0,10000000,,
12,1,0.001,10000011,,
12,20,0.02,11,,
12,167,0.167,0,,
12,1280,1.28,10000000,,
12,1628,1.628,0,,
12,2605,2.605,110000000,,
12,2863,2.863,0,,
12,3617,3.617,10000000,,
12,3977,3.977,0,,
12,46737,46.737,100000000,,
12,46973,46.973,0,,
13,0,0,100000000,,
13,1,0.001,100000011,,
13,20,0.02,110000011,,
13,180,0.18,110000000,,
13,997,0.997,0,,
13,1380,1.38,110000000,,
13,2237,2.237,100000000,,
13,2522,2.522,110000000,,
13,3372,3.372,100000000,,
13,3634,3.634,110000000,,
13,29104,29.104,0,,
13,33200,33.2,110000000,,
13,43073,43.073,0,,
14,0,0,10000000,,
14,1,0.001,10000011,,
14,20,0.02,11,,
14,176,0.176,0,,
14,1290,1.29,110000000,,
14,1647,1.647,0,,
14,2603,2.603,110000000,,
14,2843,2.843,0,,
14,3622,3.622,10000000,,
14,4005,4.005,0,,
14,69584,69.584,100000000,,
14,69743,69.743,0,,
15,0,0,100000000,,
15,1,0.001,100000011,,
15,20,0.02,110000011,,
15,312,0.312,110000000,,
15,1051,1.051,100000000,,
15,1306,1.306,0,,
15,1375,1.375,110000000,,
15,2689,2.689,0,,
15,2965,2.965,110000000,,
15,3723,3.723,100000000,,
15,4097,4.097,100000011,,
15,4116,4.116,110000011,,
15,4117,4.117,110000000,,
15,30812,30.812,0,,
15,34908,34.908,110000000,,
15,45969,45.969,0,,
16,0,0,10000000,,
16,1,0.001,10000011,,
16,20,0.02,11,,
16,205,0.205,0,,
16,969,0.969,10000000,,
16,970,0.97,0,,
16,972,0.972,10000000,,
16,1302,1.302,0,,
16,2191,2.191,110000000,,
16,2484,2.484,0,,
16,3323,3.323,110000000,,
16,3516,3.516,0,,
16,149380,149.38,100000000,,
16,149817,149.817,0,,
17,0,0,100000000,,
17,1,0.001,100000011,,
17,20,0.02,110000011,,
17,153,0.153,110000000,,
17,905,0.905,0,,
17,1245,1.245,110000000,,
17,2033,2.033,100000000,,
17,2306,2.306,110000000,,
17,3225,3.225,0,,
17,3421,3.421,110000000,,
17,4075,4.075,100000000,,
17,4097,4.097,100000011,,
17,4116,4.116,110000011,,
17,4249,4.249,110000000,,
17,31003,31.003,0,,
17,35099,35.099,110000000,,
17,115394,115.394,0,,
18,0,0,10000000,,
18,1,0.001,10000011,,
18,20,0.02,11,,
18,173,0.173,0,,
18,1087,1.087,10000000,,
18,1166,1.166,110000000,,
18,1415,1.415,0,,
18,2380,2.38,110000000,,
18,2664,2.664,0,,
18,3521,3.521,10000000,,
18,3768,3.768,0,,
18,9720,9.72,100000000,,
18,9993,9.993,0,,
19,0,0,100000000,,
19,1,0.001,100000011,,
19,20,0.02,110000011,,
19,206,0.206,110000000,,
19,1116,1.116,0,,
19,1265,1.265,100000000,,
19,1429,1.429,110000000,,
19,2447,2.447,0,,
19,2935,2.935,110000000,,
19,3828,3.828,100000000,,
19,4097,4.097,100000011,,
19,4116,4.116,110000011,,
19,4224,4.224,110000000,,
19,30329,30.329,0,,
19,38521,38.521,110000000,,
19,103992,103.992,0,,
20,0,0,10000000,,
20,1,0.001,10000011,,
20,19,0.019,11,,
20,204,0.204,0,,
20,1025,1.025,110000000,,
20,1335,1.335,0,,
20,2240,2.24,10000000,,
20,2298,2.298,110000000,,
20,2459,2.459,0,,
20,3336,3.336,10000000,,
20,3337,3.337,110000000,,
20,3430,3.43,10000000,,
20,3515,3.515,0,,
20,4240,4.24,11,,
20,4300,4.3,0,,
20,108478,108.478,100000000,,
20,108572,108.572,0,,
21,0,0,100000000,,
21,1,0.001,100000011,,
21,20,0.02,110000011,,
21,206,0.206,110000000,,
21,1009,1.009,0,,
21,1293,1.293,110000000,,
21,2149,2.149,100000000,,
21,2416,2.416,110000000,,
21,3279,3.279,0,,
21,3485,3.485,110000000,,
21,4171,4.171,110000011,,
21,4302,4.302,110000000,,
21,33150,33.15,0,,
21,37246,37.246,110000000,,
21,97260,97.26,0,,
21,105452,105.452,110000000,,
21,116881,116.881,0,,
22,0,0,10000000,,
22,1,0.001,10000011,,
22,20,0.02,11,,
22,261,0.261,0,,
22,1014,1.014,110000000,,
22,1330,1.33,0,,
22,2150,2.15,110000000,,
22,2247,2.247,10000000,,
22,2406,2.406,0,,
22,3324,3.324,10000000,,
22,3325,3.325,110000000,,
22,3509,3.509,0,,
22,4246,4.246,11,,
22,4357,4.357,0,,
23,0,0,100000000,,
23,1,0.001,100000011,,
23,20,0.02,110000011,,
23,176,0.176,110000000,,
23,1012,1.012,0,,
23,1366,1.366,110000000,,
23,2262,2.262,0,,
23,2557,2.557,110000000,,
23,3305,3.305,100000000,,
23,3693,3.693,110000000,,
23,30579,30.579,0,,
23,34675,34.675,110000000,,
23,104641,104.641,0,,
24,0,0,10000000,,
24,1,0.001,10000011,,
24,20,0.02,11,,
24,174,0.174,0,,
24,913,0.913,110000000,,
24,1261,1.261,0,,
24,2217,2.217,110000000,,
24,2536,2.536,0,,
24,3380,3.38,110000000,,
24,3572,3.572,10000000,,
24,3590,3.59,0,,
25,0,0,100000000,,
25,1,0.001,100000011,,
25,20,0.02,110000011,,
25,152,0.152,110000000,,
25,941,0.941,0,,
25,1277,1.277,110000000,,
25,2112,2.112,0,,
25,2386,2.386,110000000,,
25,3273,3.273,0,,
25,3457,3.457,110000000,,
25,7933,7.933,0,,
26,0,0,10000000,,
26,1,0.001,10000011,,
26,20,0.02,11,,
26,215,0.215,0,,
26,1072,1.072,110000000,,
26,1416,1.416,0,,
26,2232,2.232,110000000,,
26,2482,2.482,0,,
26,3360,3.36,10000000,,
26,3568,3.568,0,,
26,113741,113.741,100000000,,
26,113915,113.915,0,,
27,0,0,100000000,,
27,1,0.001,100000011,,
27,20,0.02,110000011,,
27,190,0.19,110000000,,
27,958,0.958,0,,
27,1265,1.265,110000000,,
27,2217,2.217,0,,
27,2474,2.474,110000000,,
27,3328,3.328,100000000,,
27,3615,3.615,110000000,,
27,13310,13.31,0,,
28,0,0,10000000,,
28,1,0.001,10000011,,
28,19,0.019,11,,
28,177,0.177,0,,
28,1087,1.087,10000000,,
28,1387,1.387,0,,
28,2272,2.272,110000000,,
28,2548,2.548,0,,
28,3434,3.434,110000000,,
28,3448,3.448,10000000,,
28,3627,3.627,0,,
29,0,0,100000000,,
29,1,0.001,100000011,,
29,35,0.035,110000011,,
29,182,0.182,110000000,,
29,1136,1.136,100000000,,
29,1289,1.289,0,,
29,1453,1.453,110000000,,
29,2329,2.329,0,,
29,2590,2.59,110000000,,
29,3423,3.423,100000000,,
29,3742,3.742,110000000,,
29,31426,31.426,0,,
29,35522,35.522,110000000,,
29,106151,106.151,10000000,,
29,106260,106.26,110000000,,
29,106592,106.592,0,,
30,0,0,10000000,,
30,1,0.001,10000011,,
30,20,0.02,11,,
30,218,0.218,0,,
30,1067,1.067,110000000,,
30,1378,1.378,0,,
30,2240,2.24,110000000,,
30,2462,2.462,0,,
30,3347,3.347,110000000,,
30,3500,3.5,10000000,,
30,3562,3.562,0,,
30,4309,4.309,11,,
30,4314,4.314,0,,
31,0,0,100000000,,
31,1,0.001,100000011,,
31,20,0.02,110000011,,
31,216,0.216,110000000,,
31,1053,1.053,0,,
31,1396,1.396,110000000,,
31,2226,2.226,0,,
31,2337,2.337,100000000,,
31,2534,2.534,110000000,,
31,3408,3.408,100000000,,
31,3409,3.409,0,,
31,3485,3.485,100000000,,
31,3636,3.636,110000000,,
31,30596,30.596,0,,
31,34692,34.692,110000000,,
31,108967,108.967,10000000,,
31,109129,109.129,110000000,,
31,109399,109.399,0,,
32,0,0,10000000,,
32,1,0.001,10000011,,
32,20,0.02,11,,
32,143,0.143,0,,
32,810,0.81,110000000,,
32,1214,1.214,0,,
32,2058,2.058,110000000,,
32,2308,2.308,0,,
32,3193,3.193,10000000,,
32,3407,3.407,0,,
32,4101,4.101,10000011,,
32,4116,4.116,11,,
32,4239,4.239,0,,
33,0,0,100000000,,
33,1,0.001,100000011,,
33,19,0.019,110000011,,
33,165,0.165,110000000,,
33,1056,1.056,0,,
33,1327,1.327,110000000,,
33,2240,2.24,0,,
33,2470,2.47,110000000,,
33,3269,3.269,100000000,,
33,3527,3.527,110000000,,
33,12627,12.627,10000000,,
33,12752,12.752,110000000,,
33,13060,13.06,0,,
34,0,0,10000000,,
34,1,0.001,10000011,,
34,20,0.02,11,,
34,228,0.228,0,,
34,1104,1.104,10000000,,
34,1435,1.435,0,,
34,2453,2.453,110000000,,
34,2675,2.675,0,,
34,3462,3.462,10000000,,
34,3902,3.902,0,,
35,0,0,100000000,,
35,1,0.001,100000011,,
35,20,0.02,110000011,,
35,219,0.219,110000000,,
35,1108,1.108,0,,
35,1413,1.413,110000000,,
35,2293,2.293,0,,
35,2535,2.535,110000000,,
35,3388,3.388,0,,
35,3454,3.454,100000000,,
35,3616,3.616,110000000,,
35,14390,14.39,0,,
36,0,0,110000000,,
36,1,0.001,110000011,,
36,20,0.02,100000011,,
36,147,0.147,100000000,,
36,916,0.916,110000000,,
36,1247,1.247,100000000,,
36,2198,2.198,10000000,,
36,2483,2.483,100000000,,
36,3383,3.383,110000000,,
36,3622,3.622,100000000,,
36,30657,30.657,0,,
36,34753,34.753,100000000,,
36,112546,112.546,0,,
37,1,0.001,11,,
37,19,0.019,10000011,,
37,225,0.225,10000000,,
37,1028,1.028,100000000,,
37,1348,1.348,10000000,,
37,2223,2.223,0,,
37,2400,2.4,100000000,,
37,2450,2.45,10000000,,
37,3276,3.276,100000000,,
37,3442,3.442,10000000,,
37,4105,4.105,11,,
37,4115,4.115,10000011,,
37,4321,4.321,10000000,,
37,30348,30.348,0,,
37,34444,34.444,10000000,,
37,117049,117.049,0,,
38,0,0,110000000,,
38,1,0.001,110000011,,
38,20,0.02,100000011,,
38,194,0.194,100000000,,
38,992,0.992,10000000,,
38,1266,1.266,100000000,,
38,2066,2.066,10000000,,
38,2301,2.301,110000000,,
38,2351,2.351,100000000,,
38,3283,3.283,10000000,,
38,3429,3.429,110000000,,
38,3467,3.467,100000000,,
38,4233,4.233,100000011,,
38,4290,4.29,100000000,,
38,29918,29.918,0,,
38,34014,34.014,100000000,,
38,34543,34.543,0,,
38,38639,38.639,100000000,,
38,102725,102.725,0,,
39,1,0.001,11,,
39,19,0.019,10000011,,
39,190,0.19,10000000,,
39,1016,1.016,100000000,,
39,1323,1.323,10000000,,
39,2251,2.251,100000000,,
39,2497,2.497,10000000,,
39,3460,3.46,0,,
39,3671,3.671,10000000,,
39,31057,31.057,0,,
39,39249,39.249,10000000,,
39,112293,112.293,0,,
40,0,0,110000000,,
40,1,0.001,110000011,,
40,20,0.02,100000011,,
40,167,0.167,100000000,,
40,1025,1.025,10000000,,
40,1371,1.371,100000000,,
40,2308,2.308,10000000,,
40,2556,2.556,100000000,,
40,3506,3.506,110000000,,
40,3730,3.73,100000000,,
40,8522,8.522,0,,
41,0,0,100000000,,
41,1,0.001,100000011,,
41,19,0.019,110000011,,
41,168,0.168,110000000,,
41,1019,1.019,100000000,,
41,1351,1.351,110000000,,
41,2256,2.256,100000000,,
41,2503,2.503,110000000,,
41,3419,3.419,100000000,,
41,3635,3.635,110000000,,
41,31314,31.314,0,,
41,35410,35.41,110000000,,
41,110853,110.853,0,,
42,0,0,10000000,,
42,1,0.001,10000011,,
42,19,0.019,11,,
42,211,0.211,0,,
42,1074,1.074,110000000,,
42,1452,1.452,0,,
42,2372,2.372,110000000,,
42,2605,2.605,0,,
42,3495,3.495,10000000,,
42,3913,3.913,0,,
43,0,0,100000000,,
43,1,0.001,100000011,,
43,20,0.02,110000011,,
43,163,0.163,110000000,,
43,1034,1.034,0,,
43,1339,1.339,110000000,,
43,2184,2.184,0,,
43,2436,2.436,110000000,,
43,3323,3.323,0,,
43,3451,3.451,100000000,,
43,3503,3.503,110000000,,
43,4182,4.182,110000011,,
43,4259,4.259,110000000,,
43,30351,30.351,0,,
43,34447,34.447,110000000,,
43,34714,34.714,0,,
43,38810,38.81,110000000,,
43,115999,115.999,0,,
44,0,0,10000000,,
44,1,0.001,10000011,,
44,19,0.019,11,,
44,208,0.208,0,,
44,1324,1.324,10000000,,
44,1654,1.654,0,,
44,2617,2.617,110000000,,
44,2904,2.904,0,,
44,3732,3.732,10000000,,
44,4076,4.076,0,,
45,0,0,100000000,,
45,1,0.001,100000011,,
45,19,0.019,110000011,,
45,162,0.162,110000000,,
45,899,0.899,0,,
45,1217,1.217,110000000,,
45,1984,1.984,0,,
45,2248,2.248,110000000,,
45,3080,3.08,0,,
45,3308,3.308,110000000,,
45,3958,3.958,100000000,,
45,4097,4.097,100000011,,
45,4115,4.115,110000011,,
45,4258,4.258,110000000,,
45,8558,8.558,0,,
46,0,0,10000000,,
46,1,0.001,10000011,,
46,20,0.02,11,,
46,146,0.146,0,,
46,973,0.973,110000000,,
46,1305,1.305,0,,
46,2123,2.123,110000000,,
46,2372,2.372,0,,
46,3232,3.232,110000000,,
46,3419,3.419,0,,
46,4124,4.124,11,,
46,4242,4.242,0,,
47,0,0,100000000,,
47,1,0.001,100000011,,
47,20,0.02,110000011,,
47,183,0.183,110000000,,
47,1008,1.008,0,,
47,1393,1.393,110000000,,
47,2429,2.429,100000000,,
47,2534,2.534,0,,
47,2745,2.745,110000000,,
47,3874,3.874,100000000,,
47,4097,4.097,100000011,,
47,4116,4.116,110000011,,
47,4275,4.275,110000000,,
47,9930,9.93,10000000,,
47,10052,10.052,110000000,,
47,10295,10.295,0,,
48,0,0,10000000,,
48,1,0.001,10000011,,
48,20,0.02,11,,
48,253,0.253,0,,
48,1139,1.139,110000000,,
48,1455,1.455,0,,
48,2430,2.43,10000000,,
48,2591,2.591,110000000,,
48,2668,2.668,0,,
48,3476,3.476,10000000,,
48,3895,3.895,0,,
48,105122,105.122,100000000,,
48,105482,105.482,0,,
49,0,0,100000000,,
49,1,0.001,100000011,,
49,20,0.02,110000011,,
49,247,0.247,110000000,,
49,1045,1.045,0,,
49,1370,1.37,110000000,,
49,2304,2.304,0,,
49,2548,2.548,110000000,,
49,3389,3.389,100000000,,
49,3552,3.552,110000000,,
49,4328,4.328,110000011,,
49,4343,4.343,110000000,,
49,34634,34.634,0,,
49,38730,38.73,110000000,,
49,335505,335.505,10000000,,
49,335651,335.651,110000000,,
49,336029,336.029,0,,
50,0,0,10000000,,
50,1,0.001,10000011,,
50,20,0.02,11,,
50,224,0.224,0,,
50,1043,1.043,110000000,,
50,1341,1.341,0,,
50,2171,2.171,110000000,,
50,2454,2.454,0,,
50,3201,3.201,110000000,,
50,3349,3.349,0,,
50,4076,4.076,10000000,,
50,4097,4.097,10000011,,
50,4116,4.116,11,,
50,4320,4.32,0,,
50,7362,7.362,100000000,,
50,7384,7.384,0,,
51,0,0,100000000,,
51,1,0.001,100000011,,
51,20,0.02,110000011,,
